x	y	data
1.0	1.0	0.5128216743469238
2.0	1.0	0.503017783164978
3.0	1.0	0.5079197287559509
4.0	1.0	0.5035079717636108
5.0	1.0	0.49934130907058716
6.0	1.0	0.5015471577644348
7.0	1.0	0.5096353888511658
8.0	1.0	0.5162530541419983
9.0	1.0	0.5130667686462402
10.0	1.0	0.5044883489608765
11.0	1.0	0.5103707313537598
12.0	1.0	0.5218903422355652
13.0	1.0	0.5267922878265381
14.0	1.0	0.5128216743469238
15.0	1.0	0.5120863914489746
16.0	1.0	0.5035079717636108
17.0	1.0	0.0
18.0	1.0	0.45964691042900085
19.0	1.0	0.4616076946258545
20.0	1.0	0.4716567099094391
21.0	1.0	0.45817631483078003
22.0	1.0	0.46847042441368103
23.0	1.0	0.46356847882270813
24.0	1.0	0.4608723819255829
25.0	1.0	0.4579312205314636
26.0	1.0	0.4768037796020508
27.0	1.0	0.47999003529548645
28.0	1.0	0.4677351415157318
29.0	1.0	0.4726370871067047
30.0	1.0	0.4633233845233917
31.0	1.0	0.4618527889251709
32.0	1.0	0.4525390565395355
33.0	1.0	0.45597043633461
34.0	1.0	0.0
35.0	1.0	0.4515950381755829
36.0	1.0	0.4729185700416565
37.0	1.0	0.4751244783401489
38.0	1.0	0.4636048674583435
39.0	1.0	0.45551660656929016
40.0	1.0	0.4618891775608063
41.0	1.0	0.4680166244506836
42.0	1.0	0.4675264358520508
43.0	1.0	0.4636048674583435
44.0	1.0	0.4697323143482208
45.0	1.0	0.47169309854507446
46.0	1.0	0.4721832871437073
47.0	1.0	0.4738989770412445
48.0	1.0	0.47733035683631897
49.0	1.0	0.48664405941963196
50.0	1.0	0.47095778584480286
51.0	1.0	0.0
52.0	1.0	0.3835420608520508
53.0	1.0	0.3857479393482208
54.0	1.0	0.46589499711990356
55.0	1.0	0.642365574836731
56.0	1.0	0.6720224618911743
57.0	1.0	0.6840322613716125
58.0	1.0	0.685502827167511
59.0	1.0	0.6710420250892639
60.0	1.0	0.5928557515144348
61.0	1.0	0.5060910582542419
62.0	1.0	0.5095224380493164
63.0	1.0	0.5141792893409729
64.0	1.0	0.5033949613571167
65.0	1.0	0.5024145841598511
66.0	1.0	0.4926106631755829
67.0	1.0	0.4832969605922699
1.0	2.0	0.49296873807907104
2.0	2.0	0.49345895648002625
3.0	2.0	0.4846354126930237
4.0	2.0	0.48831188678741455
5.0	2.0	0.48806679248809814
6.0	2.0	0.48782169818878174
7.0	2.0	0.4961550235748291
8.0	2.0	0.49787071347236633
9.0	2.0	0.5064491629600525
10.0	2.0	0.501056969165802
