x	y	data
1.0	1.0	0.4606158137321472
2.0	1.0	0.4689491391181946
3.0	1.0	0.48708638548851013
4.0	1.0	0.47801777720451355
5.0	1.0	0.4951746463775635
6.0	1.0	0.5130667686462402
7.0	1.0	0.512331485748291
8.0	1.0	0.49370405077934265
9.0	1.0	0.6848804950714111
10.0	1.0	0.6758118867874146
11.0	1.0	0.5226256251335144
12.0	1.0	0.5265471935272217
13.0	1.0	0.5285079479217529
14.0	1.0	0.5172334313392639
15.0	1.0	0.5196844339370728
16.0	1.0	0.5096353888511658
17.0	1.0	0.0
18.0	1.0	0.4449008107185364
19.0	1.0	0.46892040967941284
20.0	1.0	0.4873027801513672
21.0	1.0	0.4826458990573883
22.0	1.0	0.47529298067092896
23.0	1.0	0.48068511486053467
24.0	1.0	0.5017635822296143
25.0	1.0	0.5029890537261963
26.0	1.0	0.5047047138214111
27.0	1.0	0.5500478744506836
28.0	1.0	0.6816655397415161
29.0	1.0	0.6564204096794128
30.0	1.0	0.5382831692695618
31.0	1.0	0.5475968718528748
32.0	1.0	0.5365674495697021
33.0	1.0	0.5446557402610779
34.0	1.0	0.0
35.0	1.0	0.5433861613273621
36.0	1.0	0.5475528240203857
37.0	1.0	0.54216068983078
38.0	1.0	0.5073567628860474
39.0	1.0	0.5073567628860474
40.0	1.0	0.48554304242134094
41.0	1.0	0.4985332489013672
42.0	1.0	0.467160701751709
43.0	1.0	0.4791705012321472
44.0	1.0	0.4835822582244873
45.0	1.0	0.44485676288604736
46.0	1.0	0.4357881546020508
47.0	1.0	0.4326018691062927
48.0	1.0	0.4210822582244873
49.0	1.0	0.3992685377597809
50.0	1.0	0.3911803066730499
51.0	1.0	0.0
52.0	1.0	0.4725930690765381
53.0	1.0	0.4723479747772217
54.0	1.0	0.478475421667099
55.0	1.0	0.4819067716598511
56.0	1.0	0.4956322908401489
57.0	1.0	0.49171072244644165
58.0	1.0	0.4988185465335846
59.0	1.0	0.5184264183044434
60.0	1.0	0.4892597198486328
61.0	1.0	0.5100930333137512
62.0	1.0	0.5186715126037598
63.0	1.0	0.5289655923843384
64.0	1.0	0.522593080997467
65.0	1.0	0.509357750415802
66.0	1.0	0.506171464920044
67.0	1.0	0.5417107343673706
1.0	2.0	0.45105698704719543
2.0	2.0	0.45595893263816833
3.0	2.0	0.4760569930076599
4.0	2.0	0.481449156999588
5.0	2.0	0.4861060082912445
6.0	2.0	0.48806679248809814
7.0	2.0	0.4961550235748291
8.0	2.0	0.6138020753860474
9.0	2.0	0.6856158375740051
10.0	2.0	0.5978707075119019
11.0	2.0	0.5191942453384399
12.0	2.0	0.5395373702049255
13.0	2.0	0.5326746106147766
14.0	2.0	0.49958640336990356
15.0	2.0	0.5167432427406311
16.0	2.0	0.5157628655433655
17.0	2.0	0.0
18.0	2.0	0.45421454310417175
19.0	2.0	0.46867531538009644
20.0	2.0	0.4613223671913147
21.0	2.0	0.4566655158996582
22.0	2.0	0.465243935585022
23.0	2.0	0.4782341420650482
24.0	2.0	0.5086262822151184
25.0	2.0	0.4936753213405609
26.0	2.0	0.5123027563095093
27.0	2.0	0.6895086765289307
28.0	2.0	0.6787243485450745
29.0	2.0	0.5162243247032166
30.0	2.0	0.5137733817100525
31.0	2.0	0.5424498319625854
32.0	2.0	0.5243125557899475
33.0	2.0	0.5100969076156616
34.0	2.0	0.0
35.0	2.0	0.5416705012321472
36.0	2.0	0.5076018571853638
37.0	2.0	0.5176509022712708
38.0	2.0	0.4938763678073883
39.0	2.0	0.4997587203979492
40.0	2.0	0.49044501781463623
41.0	2.0	0.4776999056339264
42.0	2.0	0.4583371579647064
43.0	2.0	0.47034695744514465
44.0	2.0	0.4529449939727783
45.0	2.0	0.4264744222164154
46.0	2.0	0.40760186314582825
47.0	2.0	0.40735676884651184
48.0	2.0	0.39681756496429443
49.0	2.0	0.3838273584842682
50.0	2.0	0.3835822641849518
51.0	2.0	0.0
52.0	2.0	0.4777401089668274
53.0	2.0	0.46009305119514465
54.0	2.0	0.4679361879825592
55.0	2.0	0.47626954317092896
56.0	2.0	0.4721028506755829
57.0	2.0	0.5047008991241455
58.0	2.0	0.49734795093536377
59.0	2.0	0.49171072244644165
60.0	2.0	0.4995538592338562
61.0	2.0	0.5103381872177124
62.0	2.0	0.4993087351322174
63.0	2.0	0.5211224555969238
64.0	2.0	0.5247989296913147
65.0	2.0	0.5145048499107361
66.0	2.0	0.5233283638954163
67.0	2.0	0.7012695074081421
1.0	3.0	0.4432138502597809
2.0	3.0	0.4449295401573181
3.0	3.0	0.4539981484413147
4.0	3.0	0.4662530720233917
5.0	3.0	0.48291972279548645
6.0	3.0	0.4789981544017792
7.0	3.0	0.4919883608818054
8.0	3.0	0.6880667805671692
9.0	3.0	0.6723805069923401
10.0	3.0	0.5275275707244873
11.0	3.0	0.5138021111488342
12.0	3.0	0.5356158018112183
13.0	3.0	0.5115962028503418
14.0	3.0	0.5047334432601929
15.0	3.0	0.5079197287559509
16.0	3.0	0.5069393515586853
17.0	3.0	0.0
18.0	3.0	0.43926355242729187
19.0	3.0	0.4466165006160736
20.0	3.0	0.45911648869514465
21.0	3.0	0.4524988532066345
22.0	3.0	0.4681851267814636
23.0	3.0	0.4770086407661438
24.0	3.0	0.4828909933567047
25.0	3.0	0.499067485332489
26.0	3.0	0.6512733697891235
27.0	3.0	0.7005380392074585
28.0	3.0	0.5520086288452148
29.0	3.0	0.4983321726322174
30.0	3.0	0.5078909993171692
31.0	3.0	0.5059302449226379
32.0	3.0	0.5147537589073181
33.0	3.0	0.5147537589073181
34.0	3.0	0.0
35.0	3.0	0.5156900882720947
36.0	3.0	0.5122587084770203
37.0	3.0	0.49681755900382996
38.0	3.0	0.4921606779098511
39.0	3.0	0.4818665683269501
40.0	3.0	0.47132736444473267
41.0	3.0	0.46495482325553894
42.0	3.0	0.437503844499588
43.0	3.0	0.4323567748069763
44.0	3.0	0.41421952843666077
45.0	3.0	0.40343520045280457
46.0	3.0	0.4112783372402191
47.0	3.0	0.39191558957099915
48.0	3.0	0.3938763737678528
49.0	3.0	0.39265090227127075
50.0	3.0	0.4014744162559509
51.0	3.0	0.0
52.0	3.0	0.44783815741539
53.0	3.0	0.4561714828014374
54.0	3.0	0.4529852271080017
55.0	3.0	0.4613185524940491
56.0	3.0	0.4669558107852936
57.0	3.0	0.46524012088775635
58.0	3.0	0.47112247347831726
59.0	3.0	0.4988185465335846
60.0	3.0	0.5039656162261963
61.0	3.0	0.5147499442100525
62.0	3.0	0.49734795093536377
63.0	3.0	0.5091126561164856
64.0	3.0	0.5191617012023926
65.0	3.0	0.5024950504302979
66.0	3.0	0.7047008872032166
67.0	3.0	0.6907303333282471
1.0	4.0	0.43561580777168274
2.0	4.0	0.4334099292755127
3.0	4.0	0.44713541865348816
4.0	4.0	0.4537530541419983
5.0	4.0	0.4638020694255829
6.0	4.0	0.4848805069923401
7.0	4.0	0.6439491510391235
8.0	4.0	0.6870864033699036
9.0	4.0	0.5289981365203857
10.0	4.0	0.5319393277168274
11.0	4.0	0.5101256370544434
12.0	4.0	0.5177236795425415
13.0	4.0	0.5022825002670288
14.0	4.0	0.48880207538604736
15.0	4.0	0.4951746463775635
16.0	4.0	0.4922334551811218
17.0	4.0	0.0
18.0	4.0	0.4402439594268799
19.0	4.0	0.43264591693878174
20.0	4.0	0.4473517835140228
21.0	4.0	0.44906747341156006
22.0	4.0	0.47578316926956177
23.0	4.0	0.47039100527763367
24.0	4.0	0.47872433066368103
25.0	4.0	0.5032341480255127
26.0	4.0	0.6939204335212708
27.0	4.0	0.6483321785926819
28.0	4.0	0.4922047257423401
29.0	4.0	0.5110772848129272
30.0	4.0	0.5049498081207275
31.0	4.0	0.5037243366241455
32.0	4.0	0.5000478625297546
33.0	4.0	0.5054400563240051
34.0	4.0	0.0
35.0	4.0	0.5049058198928833
36.0	4.0	0.5017195343971252
37.0	4.0	0.48578813672065735
38.0	4.0	0.47671952843666077
39.0	4.0	0.46005284786224365
40.0	4.0	0.4561312794685364
41.0	4.0	0.44436657428741455
42.0	4.0	0.4196116626262665
43.0	4.0	0.4041704833507538
44.0	4.0	0.4002489149570465
45.0	4.0	0.38284698128700256
46.0	4.0	0.38284698128700256
47.0	4.0	0.39853325486183167
48.0	4.0	0.4051508903503418
49.0	4.0	0.4264744222164154
50.0	4.0	0.43970972299575806
51.0	4.0	0.0
52.0	4.0	0.3988185524940491
53.0	4.0	0.4216126799583435
54.0	4.0	0.44465187191963196
55.0	4.0	0.4380342364311218
56.0	4.0	0.4529852271080017
57.0	4.0	0.4770048260688782
58.0	4.0	0.47087737917900085
59.0	4.0	0.4819067716598511
60.0	4.0	0.4929361939430237
61.0	4.0	0.500044047832489
62.0	4.0	0.5064166188240051
63.0	4.0	0.5088675618171692
64.0	4.0	0.5034754276275635
65.0	4.0	0.6944068074226379
66.0	4.0	0.6929361820220947
67.0	4.0	0.5353381633758545
1.0	5.0	0.4130667746067047
2.0	5.0	0.4130667746067047
